model,track,stem,SDR,SI-SDR,PQ,CE,CU,inference_time_sec
Open-Unmix,track_046,bass,2.0591,-1.7903,6.305131435394287,3.0487728118896484,5.670599937438965,
Open-Unmix,track_046,other,7.4762,6.2433,5.324345111846924,5.335128307342529,6.121349334716797,
Open-Unmix,track_047,vocals,8.5514,8.3106,6.876741409301758,5.325902938842773,6.196469783782959,
Open-Unmix,track_047,drums,12.2986,12.4019,6.6486897468566895,4.1404523849487305,6.560561180114746,
Open-Unmix,track_047,bass,4.1624,2.6898,5.182582855224609,5.181979179382324,5.355464935302734,
Open-Unmix,track_047,other,1.7141,-3.2132,7.348042011260986,6.628326892852783,7.2591376304626465,
Open-Unmix,track_048,vocals,7.5273,7.0179,6.574395179748535,5.582937717437744,5.9181952476501465,
Open-Unmix,track_048,drums,3.8873,1.9406,6.911882400512695,5.549503326416016,7.3023481369018555,
Open-Unmix,track_048,bass,9.5029,9.0518,5.395532608032227,3.324676036834717,5.352038860321045,
Open-Unmix,track_048,other,2.2241,-1.4034,6.233961582183838,4.287792682647705,5.799435138702393,
Open-Unmix,track_049,vocals,5.4568,4.3999,5.7081074714660645,3.2574081420898438,4.715049743652344,
Open-Unmix,track_049,drums,8.5459,8.6054,5.611780166625977,3.8020660877227783,5.683864116668701,
Open-Unmix,track_049,bass,0.0056,-3.2221,5.8139824867248535,3.055539608001709,5.310133457183838,
Open-Unmix,track_049,other,5.5301,3.9082,5.277031898498535,6.085904598236084,5.864542007446289,
Open-Unmix,track_050,vocals,7.2639,6.5881,6.795935153961182,5.717593669891357,6.084155082702637,
Open-Unmix,track_050,drums,7.2786,6.5485,6.350811958312988,5.435047149658203,6.800343990325928,
Open-Unmix,track_050,bass,0.7602,-6.9526,6.124467372894287,3.014854669570923,5.455251693725586,
Open-Unmix,track_050,other,4.9453,3.3331,5.951912879943848,6.12069034576416,6.695320129394531,
